Name,Time Played,Class,Light,Kills,Deaths,KDR,KDA,Grenade,Melee,Super,Completed
Nicb1,157431,Warlock,1572,74.0,0.0,74.0,87.5,14.0,3.0,0.0,1.0
Cryptic,168215,Hunter,1560,88.0,0.0,88.0,106.0,8.0,5.0,3.0,1.0
Destructus,282253,Warlock,1575,130.0,1.0,130.0,149.0,22.0,1.0,2.0,1.0
Ursonas,213895,Titan,1568,61.0,0.0,61.0,72.0,9.0,28.0,2.0,1.0
Sayfo,87287,Hunter,1566,114.0,0.0,114.0,136.0,2.0,18.0,0.0,1.0
FknJD,61840,Hunter,1577,90.0,2.0,45.0,53.5,13.0,5.0,1.0,1.0
END GROUP + 11402180040
vvChangWangvv,680502,Warlock,1596,2856.0,229.0,12.471615720524017,14.473799126637555,716.0,142.0,133.0,1.0
BOSS DUDES,90609,Hunter,1575,2219.0,267.0,8.310861423220974,10.310861423220974,174.0,304.0,75.0,1.0
BOSS DUDES,90609,Warlock,1575,58.0,6.0,9.666666666666666,14.583333333333334,10.0,13.0,0.0,0.0
SUPERCHARGER1029,234923,Warlock,1577,3533.0,248.0,14.245967741935484,16.036290322580644,905.0,167.0,278.0,1.0
Frost qp,212512,Hunter,1573,2236.0,187.0,11.957219251336898,13.620320855614974,186.0,478.0,118.0,1.0
Slapp The System,289164,Titan,1579,3190.0,278.0,11.474820143884893,13.280575539568344,265.0,771.0,239.0,1.0
tyDYkillTIME12,143905,Hunter,1573,841.0,67.0,12.552238805970148,14.417910447761194,55.0,36.0,15.0,0.0
lil_cruz_05,144395,Hunter,1568,1502.0,169.0,8.887573964497042,11.488165680473372,86.0,168.0,160.0,1.0
Frost qp,212512,Titan,1573,481.0,46.0,10.456521739130435,11.358695652173912,12.0,27.0,34.0,0.0
Raynehaven,73385,Titan,1573,60.0,8.0,7.5,8.4375,4.0,2.0,0.0,0.0
END GROUP + 11402183071
Dan240SX,170448,Hunter,1579,3759.0,230.0,16.343478260869563,19.869565217391305,353.0,313.0,93.0,1.0
JeSavaisPasTrop,149480,Titan,1576,5189.0,247.0,21.008097165991902,22.789473684210527,826.0,2127.0,309.0,1.0
Urinal_Lecter,147278,Hunter,1580,2976.0,208.0,14.307692307692308,17.10576923076923,73.0,20.0,17.0,1.0
thunderjoey253,116951,Hunter,1575,3612.0,231.0,15.636363636363637,19.194805194805195,208.0,696.0,48.0,1.0
SHADOWxToF,140038,Warlock,1576,3997.0,190.0,21.03684210526316,24.526315789473685,448.0,99.0,110.0,1.0
