Name,Time Played,Class,Light,Kills,Deaths,KDR,KDA,Grenade,Melee,Super,Completed
Judeathan,84224,Warlock,1561,941.0,25.0,37.64,41.98,62.0,19.0,4.0,1.0
VisualTunic488,113302,Titan,1548,689.0,25.0,27.56,30.0,1.0,6.0,1.0,1.0
Arm the Mob,243953,Hunter,1538,149.0,25.0,5.96,9.52,10.0,3.0,0.0,1.0
DHarvy,96478,Titan,1565,203.0,23.0,8.826086956521738,11.695652173913043,18.0,0.0,0.0,1.0
NonBinoDino,41722,Hunter,1563,143.0,26.0,5.5,8.826923076923077,5.0,0.0,0.0,1.0
Uggis,157126,Hunter,1536,187.0,26.0,7.1923076923076925,11.442307692307692,16.0,8.0,1.0,1.0
END GROUP + 10349090244
andermer,256034,Titan,1563,4312.0,57.0,75.64912280701755,81.90350877192982,27.0,9.0,0.0,1.0
propredator2001,66008,Titan,1558,976.0,52.0,18.76923076923077,27.240384615384617,141.0,27.0,0.0,1.0
Omni,134768,Warlock,1549,178.0,9.0,19.77777777777778,27.555555555555557,6.0,2.0,0.0,0.0
B1rdy2606,114195,Hunter,1562,649.0,81.0,8.012345679012345,10.907407407407407,5.0,0.0,1.0,1.0
SuperiorsoupYT,145016,Warlock,1545,1445.0,70.0,20.642857142857142,28.914285714285715,195.0,95.0,2.0,1.0
Sten without G,193793,Titan,1538,944.0,58.0,16.275862068965516,23.56896551724138,123.0,10.0,0.0,1.0
RePlayz156,71372,Warlock,1569,848.0,51.0,16.627450980392158,25.19607843137255,102.0,104.0,7.0,1.0
END GROUP + 10349095260
Blahisboring,503873,Warlock,1569,1068.0,19.0,56.21052631578947,70.55263157894737,392.0,98.0,0.0,1.0
TheCreeperIV,275585,Warlock,1580,177.0,20.0,8.85,14.05,52.0,14.0,0.0,1.0
Trav™,262419,Warlock,1561,755.0,25.0,30.2,42.06,139.0,70.0,1.0,0.0
Asinis,375106,Warlock,1568,121.0,0.0,121.0,166.5,20.0,10.0,0.0,1.0
SeeFights,120851,Warlock,1575,397.0,23.0,17.26086956521739,22.304347826086957,169.0,47.0,4.0,1.0
mellowyellow,184565,Titan,1566,640.0,18.0,35.55555555555556,42.388888888888886,50.0,14.0,1.0,1.0
kking,381812,Warlock,1588,767.0,20.0,38.35,50.9,236.0,72.0,0.0,1.0
END GROUP + 10349098367
JackThe_Tank,274038,Titan,1560,166.0,7.0,23.714285714285715,31.857142857142858,9.0,29.0,2.0,1.0
ANDRU97SWIM,320628,Titan,1564,316.0,12.0,26.333333333333332,36.583333333333336,41.0,13.0,0.0,1.0
Drekh_,257308,Titan,1555,410.0,10.0,41.0,48.8,27.0,18.0,0.0,1.0
iWolfix,291076,Titan,1567,280.0,8.0,35.0,46.5,18.0,10.0,0.0,1.0
nicho-capo17,205728,Titan,1565,163.0,9.0,18.11111111111111,27.61111111111111,36.0,23.0,2.0,1.0
Kireki-,242945,Titan,1565,205.0,12.0,17.083333333333332,23.166666666666668,19.0,18.0,0.0,1.0
END GROUP + 10349100264
TBSpurlock,210817,Warlock,1568,1323.0,38.0,34.81578947368421,40.48684210526316,32.0,0.0,3.0,1.0
Omg2Drunk2Aim,237108,Titan,1569,423.0,24.0,17.625,22.666666666666668,18.0,24.0,5.0,1.0
ColCoke,249023,Warlock,1561,793.0,40.0,19.825,26.375,150.0,48.0,0.0,1.0
lou we6055,142610,Hunter,1566,215.0,39.0,5.512820512820513,7.9743589743589745,42.0,7.0,0.0,1.0
Dellgiz,314269,Titan,1558,529.0,43.0,12.30232558139535,18.337209302325583,52.0,21.0,11.0,1.0
Kobrasans,277919,Warlock,1559,231.0,13.0,17.76923076923077,24.03846153846154,22.0,19.0,0.0,0.0
AeriQuick,227614,Warlock,1563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AeriQuick,227614,Titan,1536,750.0,42.0,17.857142857142858,23.428571428571427,88.0,25.0,0.0,1.0
END GROUP + 10349097325
Seramys,334703,Titan,1563,469.0,19.0,24.68421052631579,31.842105263157894,56.0,7.0,0.0,0.0
CostaBlackDog,210696,Hunter,1560,97.0,13.0,7.461538461538462,10.23076923076923,11.0,4.0,0.0,1.0
kratos2520,393324,Hunter,1568,224.0,18.0,12.444444444444445,17.88888888888889,37.0,16.0,4.0,0.0
Avid Sigma,358311,Warlock,1565,127.0,5.0,25.4,33.5,6.0,4.0,0.0,1.0
punta87,309258,Hunter,1566,666.0,30.0,22.2,32.06666666666667,85.0,5.0,17.0,1.0
Aneyr,177972,Titan,1544,39.0,4.0,9.75,13.5,2.0,0.0,0.0,0.0
CIayn,271355,Hunter,1562,449.0,18.0,24.944444444444443,34.72222222222222,24.0,13.0,0.0,1.0
Alters lie,272231,Warlock,1566,1147.0,27.0,42.48148148148148,47.68518518518518,449.0,51.0,7.0,0.0
zKwerty,156074,Hunter,1544,766.0,30.0,25.533333333333335,37.5,151.0,19.0,33.0,0.0
GyveI,60098,Warlock,1562,296.0,10.0,29.6,39.65,28.0,10.0,9.0,1.0
CIosx,130638,Hunter,1565,683.0,31.0,22.032258064516128,27.532258064516128,46.0,13.0,0.0,0.0
Edo 1E,382486,Warlock,1569,136.0,6.0,22.666666666666668,28.25,52.0,13.0,3.0,1.0
END GROUP + 10349108087
Moca,180230,Hunter,1563,73.0,27.0,2.7037037037037037,3.7777777777777777,41.0,12.0,1.0,1.0
势不可挡火泰坦,97172,Hunter,1560,1146.0,26.0,44.07692307692308,48.59615384615385,98.0,4.0,3.0,1.0
一日三餐瑞士卷,116806,Warlock,1565,345.0,24.0,14.375,21.041666666666668,75.0,19.0,0.0,1.0
ADF,267869,Titan,1561,1165.0,27.0,43.148148148148145,47.48148148148148,68.0,12.0,5.0,1.0
卡在天花板上的地平线/,222859,Titan,1558,418.0,30.0,13.933333333333334,16.983333333333334,9.0,12.0,2.0,1.0
挽歌送故人,187161,Warlock,1557,96.0,25.0,3.84,4.3,40.0,44.0,2.0,1.0
END GROUP + 10349105600
RaeKiyari,213807,Hunter,1560,578.0,9.0,64.22222222222223,72.11111111111111,6.0,0.0,0.0,1.0
MeWantCookiee,308458,Titan,1558,226.0,8.0,28.25,37.625,32.0,22.0,0.0,1.0
Phaso,235643,Warlock,1565,237.0,8.0,29.625,42.9375,59.0,17.0,1.0,1.0
Klaus,332099,Titan,1560,158.0,5.0,31.6,53.9,29.0,1.0,0.0,1.0
Sura,137475,Warlock,1553,119.0,6.0,19.833333333333332,33.25,39.0,0.0,0.0,1.0
NimbleByte,227864,Warlock,1563,225.0,8.0,28.125,38.6875,44.0,7.0,0.0,1.0
END GROUP + 10349107166
FADZ,183434,Titan,1561,5703.0,126.0,45.26190476190476,55.04761904761905,719.0,204.0,7.0,1.0
Ezarath,112181,Titan,1558,1900.0,140.0,13.571428571428571,22.332142857142856,197.0,34.0,5.0,1.0
-Ektomorf-,343382,Titan,1561,2885.0,129.0,22.364341085271317,31.271317829457363,326.0,75.0,48.0,1.0
UncivilWord,200022,Warlock,1557,5434.0,139.0,39.093525179856115,47.48201438848921,1291.0,667.0,46.0,1.0
Agnt.Classified,661449,Warlock,1567,564.0,22.0,25.636363636363637,31.75,121.0,35.0,0.0,0.0
Carb0nate,127996,Warlock,1536,925.0,40.0,23.125,32.3125,67.0,62.0,5.0,1.0
Carb0nate,127996,Hunter,1563,1526.0,41.0,37.21951219512195,50.8780487804878,173.0,69.0,9.0,0.0
Grievous,240787,Warlock,1559,359.0,29.0,12.379310344827585,16.03448275862069,52.0,57.0,6.0,0.0
